Designation	blues_s	blues_ns	MPI	YSI						
IR133040.B.B.B.B.3	1266.866953	5119.397098	3193.132026	0.247464092						
IR133040.B.B.B.B.5	165.8157618	6027.891135	3096.853448	0.027508088						
IR133040.B.B.B.B.6	668.4510139	6253.519488	3460.985251	0.106891969						
IR133040.B.B.B.B.7	705.2070938	6310.26173	3507.734412	0.111755601						
IR133040.B.B.B.B.8	738.751795	5977.738965	3358.24538	0.123583816						
IR133040.B.B.B.B.9	784.1757726	6277.751348	3530.96356	0.124913481						
IR133041.B.B.B.B.1	761.3445449	5926.075702	3343.710123	0.128473645						
IR133041.B.B.B.B.10	470.1350022	5210.359041	2840.247022	0.090230826						
IR133041.B.B.B.B.2	1150.07831	5405.098163	3277.588237	0.212776582						
IR133041.B.B.B.B.6	1121.284209	5038.409705	3079.846957	0.222547247						
IR133041.B.B.B.B.7	1867.437773	5794.27572	3830.856747	0.322290112						
IR133041.B.B.B.B.8	1426.234011	5812.528599	3619.381305	0.245372386						
IR133041.B.B.B.B.9	1273.02163	5369.342188	3321.181909	0.237090799						
IR133042.B.B.B.B.10	732.2016581	5018.078936	2875.140297	0.145912742						
IR133042.B.B.B.B.3	1367.610552	6836.458113	4102.034333	0.200046651						
IR133042.B.B.B.B.4	2005.751432	5756.8253	3881.288366	0.348412767						
IR133042.B.B.B.B.6	1302.85845	7459.51388	4381.186165	0.174657286						
IR133042.B.B.B.B.7	970.1907539	5739.484409	3354.837581	0.169037963						
IR133042.B.B.B.B.8	627.0418413	NA	NA	NA						
IR133042.B.B.B.B.9	1309.389535	5265.710057	3287.549796	0.248663432						
IR133043.B.B.B.B.1	1337.404307	3325.392689	2331.398498	0.402179361						
IR133043.B.B.B.B.10	1456.475166	5666.563599	3561.519383	0.257029704						
IR133043.B.B.B.B.3	580.2318884	6463.719574	3521.975731	0.089767491						
IR133043.B.B.B.B.4	1278.285744	6849.857292	4064.071518	0.186614945						
IR133043.B.B.B.B.5	1649.415933	5429.152367	3539.28415	0.303807265						
IR133043.B.B.B.B.6	1612.968347	5787.079031	3700.023689	0.278718908						
IR133043.B.B.B.B.7	1153.440532	6467.871307	3810.65592	0.178333872						
IR133043.B.B.B.B.8	1324.678403	4563.112614	2943.895509	0.290301493						
IR133043.B.B.B.B.9	1610.78825	5728.669342	3669.728796	0.281180175						
IR133044.B.B.B.B.1	1279.330558	5529.743449	3404.537004	0.231354415						
IR133044.B.B.B.B.2	2088.214253	6141.89029	4115.052272	0.339995369						
IR133044.B.B.B.B.5	1064.306322	5702.088105	3383.197214	0.18665203						
IR133044.B.B.B.B.9	1749.325585	4772.11964	3260.722613	0.36657203						
IR133045.B.B.B.B.2	1264.22566	NA	NA	NA						
IR133045.B.B.B.B.3	427.028116	6789.194077	3608.111097	0.062898204						
IR133045.B.B.B.B.5	2825.61595	7325.655115	5075.635533	0.385715121						
IR133045.B.B.B.B.6	1072.893013	5646.227506	3359.56026	0.190019444						
IR133045.B.B.B.B.7	1444.432951	4877.116879	3160.774915	0.296165334						
IR133045.B.B.B.B.8	862.9655383	5950.948976	3406.957257	0.145013097						
IR133045.B.B.B.B.9	1136.455849	6101.334644	3618.895247	0.186263484						
IR133046.B.B.B.B.1	25.43147201	6183.642358	3104.536915	0.004112701						
IR133046.B.B.B.B.10	409.3346636	5969.305361	3189.320012	0.068573249						
IR133046.B.B.B.B.6	1116.444965	6588.013695	3852.22933	0.169466097						
IR133046.B.B.B.B.8	645.5088259	4505.386229	2575.447527	0.143274914						
IR133051.B.B.B.B.1	655.3254198	6196.7518	3426.03861	0.105753053						
IR133051.B.B.B.B.10	1304.08058	6458.697134	3881.388857	0.201910781						
IR133051.B.B.B.B.2	1048.027462	5975.731062	3511.879262	0.175380627						
IR133051.B.B.B.B.4	770.1551566	6270.029737	3520.092447	0.122831181						
IR133051.B.B.B.B.5	NA	5657.111354	NA	NA						
IR133051.B.B.B.B.6	991.5643346	6076.701127	3534.132731	0.163174774						
IR133051.B.B.B.B.7	1655.996057	7155.803162	4405.89961	0.231420012						
IR133051.B.B.B.B.8	934.897018	8214.194381	4574.5457	0.113814816						
IR133051.B.B.B.B.9	1212.967667	5314.757236	3263.862452	0.228226354						
IR133052.B.B.B.B.1	1295.082556	4537.057148	2916.069852	0.285445502						
IR133052.B.B.B.B.2	891.4703136	7291.214242	4091.342278	0.122266372						
IR133052.B.B.B.B.3	823.3235091	5113.727481	2968.525495	0.161002617						
IR133052.B.B.B.B.4	1738.12479	6627.373011	4182.748901	0.262264518						
IR133052.B.B.B.B.5	1113.881565	6247.149199	3680.515382	0.178302379						
IR133052.B.B.B.B.6	1784.68646	4881.296054	3332.991257	0.365617336						
IR133052.B.B.B.B.8	1942.371307	5578.041783	3760.206545	0.348217418						
IR133052.B.B.B.B.9	1497.805832	4834.175534	3165.990683	0.309836873						
IR133054.B.B.B.B.1	1248.913256	5376.557284	3312.73527	0.232288654						
IR133054.B.B.B.B.10	1830.779945	6625.598694	4228.18932	0.276319172						
IR133054.B.B.B.B.2	407.1692504	5885.979576	3146.574413	0.069176124						
IR133054.B.B.B.B.3	1265.238614	5376.826429	3321.032522	0.235313271						
IR133054.B.B.B.B.5	1597.763892	4431.592527	3014.67821	0.360539441						
IR133054.B.B.B.B.6	1281.86611	5363.218084	3322.542097	0.239010626						
IR133054.B.B.B.B.9	936.4817782	4751.426904	2843.954341	0.197094851						
IR133055.B.B.B.B.1	1201.686521	5823.738378	3512.71245	0.206342806						
IR133055.B.B.B.B.4	-12.18043155	6464.647686	3226.233627	-0.00188416						
IR133055.B.B.B.B.5	388.0323413	6435.678415	3411.855378	0.06029393						
IR133055.B.B.B.B.9	437.1507828	6680.788247	3558.969515	0.065434013						
IR133057.B.B.B.B.1	1595.828585	7946.475907	4771.152246	0.200822176						
IR133057.B.B.B.B.10	1112.82687	6426.972859	3769.899865	0.173149458						
IR133057.B.B.B.B.2	1763.322968	6750.029486	4256.676227	0.261231891						
IR133057.B.B.B.B.3	1052.657799	6451.353271	3752.005535	0.163168525						
IR133057.B.B.B.B.4	3164.637137	7281.526023	5223.08158	0.434611801						
IR133057.B.B.B.B.5	1564.12665	5976.277518	3770.202084	0.26172256						
IR133057.B.B.B.B.6	1496.659852	6594.540022	4045.599937	0.226954397						
IR133057.B.B.B.B.7	2210.358435	7424.491397	4817.424916	0.297711765						
IR133057.B.B.B.B.8	1341.679226	4953.853504	3147.766365	0.270835467						
IR133057.B.B.B.B.9	1926.736659	5853.44748	3890.09207	0.329162714						
IR133059.B.B.B.B.3	1303.884803	5719.98223	3511.933517	0.227952597						
IR133061.B.B.B.B.1	694.5321676	4290.308795	2492.420481	0.161883958						
IR133061.B.B.B.B.5	942.7915812	3969.664002	2456.227792	0.237499088						
IR133061.B.B.B.B.6	1069.363719	5044.433277	3056.898498	0.211988872						
IR133062.B.B.B.B.4	1145.370432	5209.787775	3177.579104	0.219849729						
IR133062.B.B.B.B.5	730.3314533	4848.739789	2789.535621	0.150622942						
IR133062.B.B.B.B.8	659.1270929	5568.699408	3113.91325	0.118362843						
IR133062.B.B.B.B.9	329.1058302	3725.785968	2027.445899	0.088331921						
IR133063.B.B.B.B.1	978.6482727	6450.291532	3714.469902	0.151721557						
IR133063.B.B.B.B.3	814.3864384	6903.411258	3858.898848	0.117968698						
IR133063.B.B.B.B.5	973.9194906	8532.917146	4753.418318	0.114136757						
IR133063.B.B.B.B.7	1314.771541	6952.690084	4133.730813	0.189102567						
IR133063.B.B.B.B.8	2291.554937	6044.734047	4168.144492	0.379099381						
IR133064.B.B.B.B.1	839.8146349	5440.735587	3140.275111	0.154356818						
IR133064.B.B.B.B.10	1028.344406	5841.075385	3434.709896	0.176053952						
IR133064.B.B.B.B.2	1100.803885	5449.776947	3275.290416	0.201990631						
IR133064.B.B.B.B.3	908.5025648	6245.584467	3577.043516	0.145463178						
IR133064.B.B.B.B.4	1279.159057	5499.712466	3389.435762	0.232586533						
IR133064.B.B.B.B.5	753.1001357	5830.232808	3291.666472	0.129171537						
IR133064.B.B.B.B.6	1906.281241	6661.009464	4283.645353	0.286185037						
IR133064.B.B.B.B.7	1492.520444	5680.022112	3586.271278	0.262766661						
IR133064.B.B.B.B.8	1488.001158	5075.287953	3281.644556	0.293185563						
IR133064.B.B.B.B.9	636.1136175	5625.301079	3130.707348	0.113080813						
IR133065.B.B.B.B.10	1023.372278	5098.904893	3061.138586	0.200704328						
IR133065.B.B.B.B.2	1915.965863	4501.561366	3208.763615	0.425622513						
IR133065.B.B.B.B.3	1315.02557	4965.41806	3140.221815	0.264836828						
IR133065.B.B.B.B.5	1156.723959	4299.800087	2728.262023	0.269018079						
IR133065.B.B.B.B.6	1111.128234	5088.856958	3099.992596	0.218345346						
IR133065.B.B.B.B.8	2299.432185	5910.165021	4104.798603	0.389063956						
IR133065.B.B.B.B.9	480.7224143	5566.304452	3023.513433	0.086362939						
IR133095.B.B.B.B.1	1585.492137	4730.222459	3157.857298	0.335183419						
IR133095.B.B.B.B.10	570.930804	5150.062224	2860.496514	0.110859011						
IR133095.B.B.B.B.3	1624.674145	5163.562931	3394.118538	0.314642073						
IR133095.B.B.B.B.4	1067.174179	4582.410742	2824.792461	0.232884881						
IR133095.B.B.B.B.5	555.8760952	4390.640427	2473.258261	0.126604787						
IR133095.B.B.B.B.6	663.804767	4978.105689	2820.955228	0.133344852						
IR133095.B.B.B.B.7	481.0870917	6819.529961	3650.308526	0.070545491						
IR133095.B.B.B.B.9	663.5825553	5180.511838	2922.047197	0.128092084						
IR133096.B.B.B.B.1	2702.97462	7577.222983	5140.098802	0.356723647						
IR133096.B.B.B.B.10	1879.22619	5680.351021	3779.788606	0.330829236						
IR133096.B.B.B.B.11	1098.757307	5292.324568	3195.540938	0.207613364						
IR133096.B.B.B.B.12	1980.213791	5049.550346	3514.882069	0.392156461						
IR133096.B.B.B.B.13	798.579066	4479.701226	2639.140146	0.178266144						
IR133096.B.B.B.B.14	1979.939449	6341.695095	4160.817272	0.312209814						
IR133096.B.B.B.B.15	2388.780954	NA	NA	NA						
IR133096.B.B.B.B.16	1114.98203	NA	NA	NA						
IR133096.B.B.B.B.2	732.0982191	6709.653719	3720.875969	0.109111178						
IR133096.B.B.B.B.4	1415.104912	4510.536506	2962.820709	0.313733169						
IR133096.B.B.B.B.5	1459.706804	4415.017232	2937.362018	0.330623127						
IR133096.B.B.B.B.6	616.4399396	6511.036393	3563.738166	0.094676163						
IR133096.B.B.B.B.7	2078.500045	5639.449769	3858.974907	0.368564333						
IR133096.B.B.B.B.8	1345.630091	5641.392756	3493.511424	0.238527993						
IR133096.B.B.B.B.9	1227.234732	5651.346709	3439.290721	0.217157926						
IR133097.B.B.B.B.1	1136.180728	5793.197685	3464.689207	0.196123245						
IR133097.B.B.B.B.10	905.6993074	7701.568247	4303.633777	0.117599335						
IR133097.B.B.B.B.2	1825.497862	7366.389018	4595.94344	0.24781448						
IR133097.B.B.B.B.3	1362.556913	5186.804665	3274.680789	0.262696786						
IR133097.B.B.B.B.4	885.6659811	5779.256088	3332.461035	0.153249132						
IR133097.B.B.B.B.7	1180.829494	5520.493499	3350.661497	0.213899264						
IR133097.B.B.B.B.8	1835.111282	6599.851043	4217.481163	0.278053439						
IR133097.B.B.B.B.9	1046.220624	5083.733374	3064.976999	0.205797698						
IR133102.B.B.B.B.3	1132.869619	5011.148661	3072.00914	0.226069849						
IR133102.B.B.B.B.4	819.9983783	3836.274182	2328.13628	0.213748637						
IR133102.B.B.B.B.7	909.3107322	5742.846302	3326.078517	0.158337989						
IR133102.B.B.B.B.8	1163.100991	5645.605298	3404.353145	0.206018829						
IR133102.B.B.B.B.9	1758.188807	6745.38809	4251.788449	0.260650504						
IR133103.B.B.B.B.1	780.5948792	6304.968009	3542.781444	0.123806319						
IR133103.B.B.B.B.2	1322.49117	6426.594938	3874.543054	0.205784118						
IR133103.B.B.B.B.3	998.5343832	6153.695421	3576.114902	0.162265812						
IR133103.B.B.B.B.4	1101.911896	6915.546485	4008.729191	0.159338369						
IR133103.B.B.B.B.5	1297.548934	5109.406162	3203.477548	0.253952983						
IR133103.B.B.B.B.7	1468.027149	6394.727883	3931.377516	0.229568353						
IR133103.B.B.B.B.8	1334.326481	6033.082549	3683.704515	0.221168278						
IR133103.B.B.B.B.9	1206.542869	8249.774354	4728.158612	0.146251621						
IR20	538.5908999	NA	NA	NA						
IR64	1719.928096	5295.691405	3507.809751	0.324778762						
IR18L1189	1675.005639	7517.812529	4596.409084	0.222804923						
IRRI132	590.6162831	6052.53647	3321.576377	0.097581615						
IRRI163	1862.282628	8141.305473	5001.794051	0.228744964						
SAHBHAGIDHAN	1320.790592	4063.409145	2692.099869	0.325044943						
UPLRI7	1464.27931	6157.796728	3811.038019	0.237792732						
